VenueCode,TemplateName,SectioCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
52,RiverplaceCafe3,1,TBL01,TBL01,97,A,1,1,1,,0
52,RiverplaceCafe3,1,TBL01,TBL01,98,A,0,1,2,,0
52,RiverplaceCafe3,1,TBL01,TBL01,99,A,0,1,3,,0
52,RiverplaceCafe3,1,TBL01,TBL01,100,A,0,1,4,,0
52,RiverplaceCafe3,1,TBL01,TBL01,101,A,0,1,5,,0
52,RiverplaceCafe3,1,TBL01,TBL01,102,A,1,1,6,,0
52,RiverplaceCafe3,10,TBL10,TBL10,63,A,1,1,1,,0
52,RiverplaceCafe3,10,TBL10,TBL10,64,A,0,1,2,,0
52,RiverplaceCafe3,10,TBL10,TBL10,65,A,0,1,3,,0
52,RiverplaceCafe3,10,TBL10,TBL10,66,A,0,1,4,,0
52,RiverplaceCafe3,10,TBL10,TBL10,66,A,0,1,5,,0
52,RiverplaceCafe3,10,TBL10,TBL10,66,A,1,1,6,,0
52,RiverplaceCafe3,11,TBL11,TBL11,67,A,1,1,1,,0
52,RiverplaceCafe3,11,TBL11,TBL11,68,A,0,1,2,,0
52,RiverplaceCafe3,11,TBL11,TBL11,69,A,0,1,3,,0
52,RiverplaceCafe3,11,TBL11,TBL11,70,A,1,1,4,,0
52,RiverplaceCafe3,12,TBL12,TBL12,71,A,1,1,1,,0
52,RiverplaceCafe3,12,TBL12,TBL12,72,A,0,1,2,,0
52,RiverplaceCafe3,12,TBL12,TBL12,73,A,0,1,3,,0
52,RiverplaceCafe3,12,TBL12,TBL12,74,A,1,1,4,,0
52,RiverplaceCafe3,13,TBL13,TBL13,75,A,1,1,1,,0
52,RiverplaceCafe3,13,TBL13,TBL13,76,A,0,1,2,,0
52,RiverplaceCafe3,13,TBL13,TBL13,77,A,0,1,3,,0
52,RiverplaceCafe3,13,TBL13,TBL13,78,A,1,1,4,,0
52,RiverplaceCafe3,14,TBL14,TBL14,33,A,1,1,1,,0
52,RiverplaceCafe3,14,TBL14,TBL14,34,A,0,1,2,,0
52,RiverplaceCafe3,14,TBL14,TBL14,35,A,0,1,3,,0
52,RiverplaceCafe3,14,TBL14,TBL14,36,A,0,1,4,,0
52,RiverplaceCafe3,14,TBL14,TBL14,37,A,0,1,5,,0
52,RiverplaceCafe3,14,TBL14,TBL14,38,A,1,1,6,,0
52,RiverplaceCafe3,15,TBL15,TBL15,39,A,1,1,1,,0
52,RiverplaceCafe3,15,TBL15,TBL15,40,A,0,1,2,,0
52,RiverplaceCafe3,15,TBL15,TBL15,41,A,0,1,3,,0
52,RiverplaceCafe3,15,TBL15,TBL15,42,A,0,1,4,,0
52,RiverplaceCafe3,15,TBL15,TBL15,43,A,0,1,5,,0
52,RiverplaceCafe3,15,TBL15,TBL15,44,A,1,1,6,,0
52,RiverplaceCafe3,16,TBL16,TBL16,45,A,1,1,1,,0
52,RiverplaceCafe3,16,TBL16,TBL16,46,A,0,1,2,,0
52,RiverplaceCafe3,16,TBL16,TBL16,47,A,0,1,3,,0
52,RiverplaceCafe3,16,TBL16,TBL16,48,A,0,1,4,,0
52,RiverplaceCafe3,16,TBL16,TBL16,49,A,0,1,5,,0
52,RiverplaceCafe3,16,TBL16,TBL16,50,A,1,1,6,,0
52,RiverplaceCafe3,17,TBL17,TBL17,51,A,1,1,1,,0
52,RiverplaceCafe3,17,TBL17,TBL17,52,A,0,1,2,,0
52,RiverplaceCafe3,17,TBL17,TBL17,53,A,0,1,3,,0
52,RiverplaceCafe3,17,TBL17,TBL17,54,A,1,1,4,,0
52,RiverplaceCafe3,18,TBL18,TBL18,17,A,1,1,1,,0
52,RiverplaceCafe3,18,TBL18,TBL18,18,A,0,1,2,,0
52,RiverplaceCafe3,18,TBL18,TBL18,19,A,0,1,3,,0
52,RiverplaceCafe3,18,TBL18,TBL18,20,A,1,1,4,,0
52,RiverplaceCafe3,19,TBL19,TBL19,21,A,1,1,1,,0
52,RiverplaceCafe3,19,TBL19,TBL19,22,A,0,1,2,,0
52,RiverplaceCafe3,19,TBL19,TBL19,23,A,0,1,3,,0
52,RiverplaceCafe3,19,TBL19,TBL19,24,A,1,1,4,,0
52,RiverplaceCafe3,2,TBL02,TBL02,103,A,1,1,1,,0
52,RiverplaceCafe3,2,TBL02,TBL02,104,A,0,1,2,,0
52,RiverplaceCafe3,2,TBL02,TBL02,105,A,0,1,3,,0
52,RiverplaceCafe3,2,TBL02,TBL02,106,A,0,1,4,,0
52,RiverplaceCafe3,2,TBL02,TBL02,107,A,0,1,5,,0
52,RiverplaceCafe3,2,TBL02,TBL02,108,A,1,1,6,,0
52,RiverplaceCafe3,20,TBL20,TBL20,25,A,1,1,1,,0
52,RiverplaceCafe3,20,TBL20,TBL20,26,A,0,1,2,,0
52,RiverplaceCafe3,20,TBL20,TBL20,27,A,0,1,3,,0
52,RiverplaceCafe3,20,TBL20,TBL20,28,A,1,1,4,,0
52,RiverplaceCafe3,21,TBL21,TBL21,29,A,1,1,1,,0
52,RiverplaceCafe3,21,TBL21,TBL21,30,A,0,1,2,,0
52,RiverplaceCafe3,21,TBL21,TBL21,31,A,0,1,3,,0
52,RiverplaceCafe3,21,TBL21,TBL21,32,A,1,1,4,,0
52,RiverplaceCafe3,22,TBL22,TBL22,1,A,1,1,1,,0
52,RiverplaceCafe3,22,TBL22,TBL22,2,A,0,1,2,,0
52,RiverplaceCafe3,22,TBL22,TBL22,3,A,0,1,3,,0
52,RiverplaceCafe3,22,TBL22,TBL22,4,A,1,1,4,,0
52,RiverplaceCafe3,23,TBL23,TBL23,5,A,1,1,1,,0
52,RiverplaceCafe3,23,TBL23,TBL23,6,A,0,1,2,,0
52,RiverplaceCafe3,23,TBL23,TBL23,7,A,0,1,3,,0
52,RiverplaceCafe3,23,TBL23,TBL23,8,A,0,1,4,,0
52,RiverplaceCafe3,23,TBL23,TBL23,9,A,0,1,5,,0
52,RiverplaceCafe3,23,TBL23,TBL23,10,A,1,1,6,,0
52,RiverplaceCafe3,24,TBL24,TBL24,11,A,1,1,1,,0
52,RiverplaceCafe3,24,TBL24,TBL24,12,A,0,1,2,,0
52,RiverplaceCafe3,24,TBL24,TBL24,13,A,0,1,3,,0
52,RiverplaceCafe3,24,TBL24,TBL24,14,A,0,1,4,,0
52,RiverplaceCafe3,24,TBL24,TBL24,15,A,0,1,5,,0
52,RiverplaceCafe3,24,TBL24,TBL24,16,A,1,1,6,,0
52,RiverplaceCafe3,3,TBL03,TBL03,109,A,1,1,1,,0
52,RiverplaceCafe3,3,TBL03,TBL03,110,A,0,1,2,,0
52,RiverplaceCafe3,3,TBL03,TBL03,111,A,0,1,3,,0
52,RiverplaceCafe3,3,TBL03,TBL03,112,A,0,1,4,,0
52,RiverplaceCafe3,3,TBL03,TBL03,113,A,0,1,5,,0
52,RiverplaceCafe3,3,TBL03,TBL03,114,A,1,1,6,,0
52,RiverplaceCafe3,4,TBL04,TBL04,115,A,1,1,1,,0
52,RiverplaceCafe3,4,TBL04,TBL04,116,A,0,1,2,,0
52,RiverplaceCafe3,4,TBL04,TBL04,117,A,0,1,3,,0
52,RiverplaceCafe3,4,TBL04,TBL04,118,A,0,1,4,,0
52,RiverplaceCafe3,4,TBL04,TBL04,119,A,0,1,5,,0
52,RiverplaceCafe3,4,TBL04,TBL04,120,A,1,1,6,,0
52,RiverplaceCafe3,5,TBL05,TBL05,79,A,1,1,1,,0
52,RiverplaceCafe3,5,TBL05,TBL05,80,A,0,1,2,,0
52,RiverplaceCafe3,5,TBL05,TBL05,81,A,0,1,3,,0
52,RiverplaceCafe3,5,TBL05,TBL05,82,A,0,1,4,,0
52,RiverplaceCafe3,5,TBL05,TBL05,83,A,0,1,5,,0
52,RiverplaceCafe3,5,TBL05,TBL05,84,A,1,1,6,,0
52,RiverplaceCafe3,6,TBL06,TBL06,85,A,1,1,1,,0
52,RiverplaceCafe3,6,TBL06,TBL06,86,A,0,1,2,,0
52,RiverplaceCafe3,6,TBL06,TBL06,87,A,0,1,3,,0
52,RiverplaceCafe3,6,TBL06,TBL06,88,A,1,1,4,,0
52,RiverplaceCafe3,7,TBL07,TBL07,91,A,1,1,1,,0
52,RiverplaceCafe3,7,TBL07,TBL07,92,A,0,1,2,,0
52,RiverplaceCafe3,7,TBL07,TBL07,93,A,0,1,3,,0
52,RiverplaceCafe3,7,TBL07,TBL07,94,A,0,1,4,,0
52,RiverplaceCafe3,7,TBL07,TBL07,95,A,0,1,5,,0
52,RiverplaceCafe3,7,TBL07,TBL07,96,A,1,1,6,,0
52,RiverplaceCafe3,8,TBL08,TBL08,55,A,1,1,1,,0
52,RiverplaceCafe3,8,TBL08,TBL08,56,A,0,1,2,,0
52,RiverplaceCafe3,8,TBL08,TBL08,57,A,0,1,3,,0
52,RiverplaceCafe3,8,TBL08,TBL08,58,A,1,1,4,,0
52,RiverplaceCafe3,9,TBL09,TBL09,59,A,1,1,1,,0
52,RiverplaceCafe3,9,TBL09,TBL09,60,A,0,1,2,,0
52,RiverplaceCafe3,9,TBL09,TBL09,61,A,0,1,3,,0
52,RiverplaceCafe3,9,TBL09,TBL09,62,A,1,1,4,,0
